"county_id","county_name","district_id","district_name","line_no","account","line_desc","amount_1","amount_2","amount_3"
01,"Atlantic",0010,"Absecon City",87100,"'20-218-XXX-XX","Total Preschool Education Aid",679740.00,1122557.00,1297716.00
01,"Atlantic",0010,"Absecon City",88000,"'20-XXX-XXX-XX","Nonpublic Textbooks",20396.00,24009.00,24009.00
01,"Atlantic",0010,"Absecon City",88020,"'20-XXX-XXX-XX","Nonpublic Auxiliary Services",44339.00,35474.00,35474.00
01,"Atlantic",0010,"Absecon City",88040,"'20-XXX-XXX-XX","Nonpublic Handicapped Services",59381.00,64766.00,64766.00
01,"Atlantic",0010,"Absecon City",88060,"'20-XXX-XXX-XX","Nonpublic Nursing Services",27715.00,38412.00,38412.00
01,"Atlantic",0010,"Absecon City",88080,"'20-XXX-XXX-XX","Nonpublic Technology Initiative",13674.00,14328.00,14328.00
01,"Atlantic",0010,"Absecon City",88090,"'20-XXX-XXX-XX","Nonpublic Security Aid",57605.00,69300.00,69300.00
01,"Atlantic",0010,"Absecon City",88140,"'20-XXX-XXX-XX","Other",0.00,17096.00,0.00
01,"Atlantic",0010,"Absecon City",88180,"'","Total Other State Projects",223110.00,263385.00,246289.00
01,"Atlantic",0010,"Absecon City",88200,"'20-XXX-XXX-XX","Total State Projects",902850.00,1385942.00,1544005.00
01,"Atlantic",0010,"Absecon City",88500,"'20-XXX-XXX-XX","Title I",213358.00,292747.00,248834.00
01,"Atlantic",0010,"Absecon City",88520,"'20-XXX-XXX-XX","Title II",36606.00,42689.00,36286.00
01,"Atlantic",0010,"Absecon City",88540,"'20-XXX-XXX-XX","Title III",184.00,26065.00,22155.00
01,"Atlantic",0010,"Absecon City",88560,"'20-XXX-XXX-XX","Title IV",16577.00,21980.00,18683.00
01,"Atlantic",0010,"Absecon City",88620,"'20-XXX-XXX-XX","I.D.E.A. Part B (Handicapped)",301523.00,332725.00,282816.00
01,"Atlantic",0010,"Absecon City",88678,"'20-477-XXX-XX","CARES Act Education Stabilization Fund",0.00,232945.00,0.00
01,"Atlantic",0010,"Absecon City",88700,"'20-XXX-XXX-XX","Other",0.00,9318.00,7920.00
01,"Atlantic",0010,"Absecon City",88706,"'20-479-XXX-XX","Coronavirus Relief Fund (CRF) Grant Program",0.00,76859.00,0.00
01,"Atlantic",0010,"Absecon City",88709,"'20-483-xxx-xx","CRRSA Act-ESSER II Grant Program",,0.00,684684.00
01,"Atlantic",0010,"Absecon City",88710,"'20-484-xxx-xx","CRRSA Act-Learning Acceleration Grant Program",,0.00,43940.00
01,"Atlantic",0010,"Absecon City",88711,"'20-485-xxx-xx","CRRSA Act-Mental Health Grant Program",,0.00,45000.00
01,"Atlantic",0010,"Absecon City",88740,"'20-XXX-XXX-XX","Total Federal Projects",568248.00,1035328.00,1390318.00
01,"Atlantic",0010,"Absecon City",88760,"'","Total Special Revenue Funds",1473434.00,2441270.00,2954323.00
01,"Atlantic",0010,"Absecon City",89660,"'40-701-510-XX","Total Regular Debt Service",398881.00,401988.00,404488.00
01,"Atlantic",0010,"Absecon City",89980,"'","Total Debt Service Funds",398881.00,401988.00,404488.00
01,"Atlantic",0010,"Absecon City",90000,"'","Total Expenditures/Appropriations",16850701.00,19252637.00,21127492.00
01,"Atlantic",0010,"Absecon City",90002,"'11-105-100-93","Deduct Transfer-Local Contribution-Transfer To Special Revenues-Regular",98343.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",90003,"'11-105-100-93","Deduct Transfer-Local Contribution-Transfer To Special Revenues-Inclusion",0.00,10000.00,105936.00
01,"Atlantic",0010,"Absecon City",90010,"'","Total Expenditures Net of Transfers",16752358.00,19242637.00,21021556.00
01,"Atlantic",0110,"Atlantic City",3200,"'11-1XX-100-XX","Total Regular Programs-Instruction",37469953.00,46056695.00,48026382.00
01,"Atlantic",0110,"Atlantic City",10300,"'11-2XX-100-XX","Total Special Education-Instruction",12083680.00,12797922.00,13451189.00
01,"Atlantic",0110,"Atlantic City",11160,"'11-230-100-XX","Total Basic Skills/Remedial-Instruction",2639939.00,2858443.00,2850518.00
01,"Atlantic",0110,"Atlantic City",12160,"'11-240-100-XX","Total Bilingual Education-Instruction",3100854.00,3544551.00,3760555.00
01,"Atlantic",0110,"Atlantic City",17100,"'11-401-100-XX","Total School-Sponsored Cocurricular Or Extracurricular Activities-Instruction",146951.00,240966.00,281849.00
01,"Atlantic",0110,"Atlantic City",17600,"'11-402-100-XX","Total School-Sponsored Athletics-Instruction",552549.00,684724.00,825320.00
01,"Atlantic",0110,"Atlantic City",22620,"'11-424-XXX-XX","Total Other Supplemental/At-Risk Programs",1503375.00,1578655.00,1798382.00
01,"Atlantic",0110,"Atlantic City",27100,"'11-800-330-XX","Total Community Services Programs/Operations",6701.00,9135.00,9045.00
01,"Atlantic",0110,"Atlantic City",29180,"'11-000-100-XX","Total Undistributed Expenditures-Instruction (Tuition)",8996095.00,10104718.00,9543773.00
01,"Atlantic",0110,"Atlantic City",29680,"'11-000-211-XX","Total Undistributed Expenditures-Attendance and Social Work",296425.00,336908.00,355759.00
01,"Atlantic",0110,"Atlantic City",30620,"'11-000-213-XX","Total Undistributed Expenditures-Health Services",1041765.00,1374086.00,1421004.00
01,"Atlantic",0110,"Atlantic City",40580,"'11-000-216-XX","Total Undistributed Expenditures-Speech, OT, PT and Related Services",1111865.00,1337634.00,1402288.00
01,"Atlantic",0110,"Atlantic City",41660,"'11-000-218-XX","Total Undistributed Expenditures-Guidance",2174713.00,2319419.00,2426236.00
01,"Atlantic",0110,"Atlantic City",42200,"'11-000-219-XX","Total Undistributed Expenditures-Child Study Teams",1898858.00,2337849.00,2580561.00
01,"Atlantic",0110,"Atlantic City",43200,"'11-000-221-XX","Total Undistributed Expenditures-Improvement of Instruction Services",2413834.00,2807802.00,3774926.00
01,"Atlantic",0110,"Atlantic City",43620,"'11-000-222-XX","Total Undistributed Expenditures-Education Media Services/Library",1089086.00,1362871.00,1608173.00
01,"Atlantic",0110,"Atlantic City",44180,"'11-000-223-XX","Total Undistributed Expenditures-Instructional Staff Training Services",950.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",45300,"'11-000-230-XX","Total Undistributed Expenditures-Support Services-General Administration",2443931.00,3307961.00,5487623.00
01,"Atlantic",0110,"Atlantic City",46160,"'11-000-240-XX","Total Undistributed Expenditures-Support Services-School Administration",5080708.00,5473087.00,5626639.00
01,"Atlantic",0110,"Atlantic City",47200,"'11-000-251-XX","Total Undistributed Expenditures-Central Services",1518609.00,2077642.00,1874982.00
01,"Atlantic",0110,"Atlantic City",47620,"'11-000-252-XX","Total Undistributed Expenditures-Administrative Informationtechnology",716525.00,1041022.00,808693.00
01,"Atlantic",0110,"Atlantic City",51120,"'11-000-26X-XX","Total Undistributed Expenditures-Operation and Maintenance of Plant Services",13032699.00,17699684.00,17673203.00
01,"Atlantic",0110,"Atlantic City",52480,"'11-000-270-XX","Total Undistributed Expenditures-Student Transportation Services",4943482.00,7038105.00,6920846.00
01,"Atlantic",0110,"Atlantic City",71260,"'11-XXX-XXX-2X","Total Personal Services-Employee Benefits",19108632.00,23748164.00,26427222.00
01,"Atlantic",0110,"Atlantic City",72140,"'","Total Undistributed Expenditures",65868177.00,82366952.00,87931928.00
01,"Atlantic",0110,"Atlantic City",72180,"'10-606","Interest Earned on Maintenance Reserve",0.00,0.00,1000.00
01,"Atlantic",0110,"Atlantic City",72200,"'10-606","Increase In Maintenance Reserve",0.00,0.00,5000000.00
01,"Atlantic",0110,"Atlantic City",72260,"'","Total General Current Expense",123372179.00,150138043.00,163936168.00
01,"Atlantic",0110,"Atlantic City",75880,"'12-XXX-XXX-73","Total Equipment",441174.00,1354327.00,763798.00
01,"Atlantic",0110,"Atlantic City",76260,"'12-000-400-XX","Total Facilities Acquisition and Construction Services",1698470.00,9899516.00,12443597.00
01,"Atlantic",0110,"Atlantic City",76360,"'10-604","Increase In Capital Reserve",0.00,4000000.00,15132124.00
01,"Atlantic",0110,"Atlantic City",76380,"'10-604","Interest Deposit to Capital Reserve",0.00,52137.00,42000.00
01,"Atlantic",0110,"Atlantic City",76400,"'","Total Capital Outlay",2139644.00,15305980.00,28381519.00
01,"Atlantic",0110,"Atlantic City",84000,"'10-000-100-56","Transfer of Funds to Charter Schools",7544611.00,8864868.00,10488840.00
01,"Atlantic",0110,"Atlantic City",84060,"'","General Fund Grand Total",133056434.00,174308891.00,202806527.00
01,"Atlantic",0110,"Atlantic City",84100,"'20-XXX-XXX-XX","Local Projects",11508.00,4527.00,0.00
01,"Atlantic",0110,"Atlantic City",85120,"'20-218-100-XX","Total Preschool Education Aid Instruction",3378430.00,3771996.00,4775624.00
01,"Atlantic",0110,"Atlantic City",86380,"'20-218-200-XX","Total Support Services",2377956.00,2830158.00,3304510.00
01,"Atlantic",0110,"Atlantic City",87100,"'20-218-XXX-XX","Total Preschool Education Aid",5756386.00,6602154.00,8080134.00
01,"Atlantic",0110,"Atlantic City",88000,"'20-XXX-XXX-XX","Nonpublic Textbooks",5428.00,6842.00,5816.00
01,"Atlantic",0110,"Atlantic City",88020,"'20-XXX-XXX-XX","Nonpublic Auxiliary Services",0.00,53164.00,45189.00
01,"Atlantic",0110,"Atlantic City",88040,"'20-XXX-XXX-XX","Nonpublic Handicapped Services",0.00,7909.00,6723.00
01,"Atlantic",0110,"Atlantic City",88060,"'20-XXX-XXX-XX","Nonpublic Nursing Services",10568.00,11424.00,9710.00
01,"Atlantic",0110,"Atlantic City",88090,"'20-XXX-XXX-XX","Nonpublic Security Aid",17700.00,19600.00,16660.00
01,"Atlantic",0110,"Atlantic City",88140,"'20-XXX-XXX-XX","Other",41683.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",88180,"'","Total Other State Projects",75379.00,98939.00,84098.00
01,"Atlantic",0110,"Atlantic City",88200,"'20-XXX-XXX-XX","Total State Projects",5831765.00,6701093.00,8164232.00
01,"Atlantic",0110,"Atlantic City",88500,"'20-XXX-XXX-XX","Title I",5113817.00,9305029.00,5323992.00
01,"Atlantic",0110,"Atlantic City",88520,"'20-XXX-XXX-XX","Title II",261930.00,850080.00,356604.00
01,"Atlantic",0110,"Atlantic City",88540,"'20-XXX-XXX-XX","Title III",167784.00,328480.00,191365.00
01,"Atlantic",0110,"Atlantic City",88560,"'20-XXX-XXX-XX","Title IV",99177.00,522187.00,292559.00
01,"Atlantic",0110,"Atlantic City",88620,"'20-XXX-XXX-XX","I.D.E.A. Part B (Handicapped)",1450258.00,2336278.00,1639145.00
01,"Atlantic",0110,"Atlantic City",88640,"'20-XXX-XXX-XX","Vocational Education",0.00,82311.00,70729.00
01,"Atlantic",0110,"Atlantic City",88678,"'20-477-XXX-XX","CARES Act Education Stabilization Fund",11868.00,3965309.00,0.00
01,"Atlantic",0110,"Atlantic City",88700,"'20-XXX-XXX-XX","Other",6682.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",88705,"'20-478-XXX-XX","Bridging the Digital Divide Program",0.00,4872.00,0.00
01,"Atlantic",0110,"Atlantic City",88706,"'20-479-XXX-XX","Coronavirus Relief Fund (CRF) Grant Program",0.00,892772.00,0.00
01,"Atlantic",0110,"Atlantic City",88740,"'20-XXX-XXX-XX","Total Federal Projects",7111516.00,18287318.00,7874394.00
01,"Atlantic",0110,"Atlantic City",88760,"'","Total Special Revenue Funds",12954789.00,24992938.00,16038626.00
01,"Atlantic",0110,"Atlantic City",89660,"'40-701-510-XX","Total Regular Debt Service",6099679.00,6315257.00,5579668.00
01,"Atlantic",0110,"Atlantic City",89980,"'","Total Debt Service Funds",6099679.00,6315257.00,5579668.00
01,"Atlantic",0110,"Atlantic City",90000,"'","Total Expenditures/Appropriations",152110902.00,205617086.00,224424821.00
01,"Atlantic",0110,"Atlantic City",90003,"'11-105-100-93","Deduct Transfer-Local Contribution-Transfer To Special Revenues-Inclusion",0.00,0.00,238356.00
01,"Atlantic",0110,"Atlantic City",90010,"'","Total Expenditures Net of Transfers",152110902.00,205617086.00,224186465.00
01,"Atlantic",0120,"Atlantic Co Vocational",3200,"'11-1XX-100-XX","Total Regular Programs-Instruction",5636277.00,6362909.00,7373454.00
01,"Atlantic",0120,"Atlantic Co Vocational",10300,"'11-2XX-100-XX","Total Special Education-Instruction",204316.00,208894.00,173184.00
01,"Atlantic",0120,"Atlantic Co Vocational",15180,"'11-3XX-100-XX","Total Vocational Programs",3471069.00,4009351.00,4041027.00
01,"Atlantic",0120,"Atlantic Co Vocational",17100,"'11-401-100-XX","Total School-Sponsored Cocurricular Or Extracurricular Activities-Instruction",94609.00,159050.00,145650.00
01,"Atlantic",0120,"Atlantic Co Vocational",17600,"'11-402-100-XX","Total School-Sponsored Athletics-Instruction",424032.00,506000.00,516392.00
01,"Atlantic",0120,"Atlantic Co Vocational",25100,"'11-4XX-100-XX","Total Other Instructional Programs-Instruction",100013.00,103591.00,104110.00
01,"Atlantic",0120,"Atlantic Co Vocational",30620,"'11-000-213-XX","Total Undistributed Expenditures-Health Services",244667.00,265825.00,273143.00
01,"Atlantic",0120,"Atlantic Co Vocational",41660,"'11-000-218-XX","Total Undistributed Expenditures-Guidance",893579.00,882688.00,916441.00
01,"Atlantic",0120,"Atlantic Co Vocational",42200,"'11-000-219-XX","Total Undistributed Expenditures-Child Study Teams",316434.00,368057.00,378298.00
01,"Atlantic",0120,"Atlantic Co Vocational",43200,"'11-000-221-XX","Total Undistributed Expenditures-Improvement of Instruction Services",628189.00,694323.00,713550.00
01,"Atlantic",0120,"Atlantic Co Vocational",43620,"'11-000-222-XX","Total Undistributed Expenditures-Education Media Services/Library",120011.00,130048.00,129028.00
01,"Atlantic",0120,"Atlantic Co Vocational",44180,"'11-000-223-XX","Total Undistributed Expenditures-Instructional Staff Training Services",10324.00,29325.00,25584.00
01,"Atlantic",0120,"Atlantic Co Vocational",45300,"'11-000-230-XX","Total Undistributed Expenditures-Support Services-General Administration",655609.00,723089.00,710873.00
01,"Atlantic",0120,"Atlantic Co Vocational",46160,"'11-000-240-XX","Total Undistributed Expenditures-Support Services-School Administration",733016.00,751173.00,778056.00
01,"Atlantic",0120,"Atlantic Co Vocational",47200,"'11-000-251-XX","Total Undistributed Expenditures-Central Services",362924.00,447385.00,370515.00
01,"Atlantic",0120,"Atlantic Co Vocational",47620,"'11-000-252-XX","Total Undistributed Expenditures-Administrative Informationtechnology",347573.00,569936.00,481533.00
01,"Atlantic",0120,"Atlantic Co Vocational",51120,"'11-000-26X-XX","Total Undistributed Expenditures-Operation and Maintenance of Plant Services",4068438.00,4390656.00,4550385.00
01,"Atlantic",0120,"Atlantic Co Vocational",52480,"'11-000-270-XX","Total Undistributed Expenditures-Student Transportation Services",456954.00,763890.00,815605.00
01,"Atlantic",0120,"Atlantic Co Vocational",71260,"'11-XXX-XXX-2X","Total Personal Services-Employee Benefits",5401086.00,6700040.00,6576486.00
01,"Atlantic",0120,"Atlantic Co Vocational",72020,"'11-000-310-93","Total Undistributed Expenditures-Food Services",994.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",72140,"'","Total Undistributed Expenditures",14239798.00,16716435.00,16719497.00
01,"Atlantic",0120,"Atlantic Co Vocational",72180,"'10-606","Interest Earned on Maintenance Reserve",0.00,100.00,100.00
01,"Atlantic",0120,"Atlantic Co Vocational",72200,"'10-606","Increase In Maintenance Reserve",0.00,0.00,150000.00
01,"Atlantic",0120,"Atlantic Co Vocational",72260,"'","Total General Current Expense",24170114.00,28066330.00,29223414.00
01,"Atlantic",0120,"Atlantic Co Vocational",75880,"'12-XXX-XXX-73","Total Equipment",241952.00,76029.00,40500.00
01,"Atlantic",0120,"Atlantic Co Vocational",76260,"'12-000-400-XX","Total Facilities Acquisition and Construction Services",824587.00,688428.00,940000.00
01,"Atlantic",0120,"Atlantic Co Vocational",76360,"'10-604","Increase In Capital Reserve",0.00,594000.00,2100000.00
01,"Atlantic",0120,"Atlantic Co Vocational",76380,"'10-604","Interest Deposit to Capital Reserve",0.00,400.00,400.00
01,"Atlantic",0120,"Atlantic Co Vocational",76400,"'","Total Capital Outlay",1066539.00,1358857.00,3080900.00
01,"Atlantic",0120,"Atlantic Co Vocational",77140,"'13-330-100-XX","Total Post-Secondary Programs-Instruction",242157.00,328499.00,337162.00
01,"Atlantic",0120,"Atlantic Co Vocational",77280,"'13-330-200-XX","Total Post-Secondary Programs-Support Services",20811.00,23550.00,23550.00
01,"Atlantic",0120,"Atlantic Co Vocational",77300,"'13-330-X00-XX","Total Post-Secondary Programs",262968.00,352049.00,360712.00
01,"Atlantic",0120,"Atlantic Co Vocational",78180,"'13-4XX-100-XX","Total Other Special Schools-Instruction",544564.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",78320,"'13-4XX-200-XX","Total Other Special Schools-Support Services",348226.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",78340,"'13-4XX-X00-XX","Total Other Special Schools",892790.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",81180,"'13-629-100-XX","Total Vocational Evening-Local-Instruction",51636.00,89134.00,89000.00
01,"Atlantic",0120,"Atlantic Co Vocational",81320,"'13-629-200-XX","Total Vocational Evening-Local-Support Services",58243.00,137256.00,139871.00
01,"Atlantic",0120,"Atlantic Co Vocational",81340,"'13-629-X00-XX","Total Vocational Evening-Local",109879.00,226390.00,228871.00
01,"Atlantic",0120,"Atlantic Co Vocational",83080,"'13-XXX-XXX-XX","Total Special Schools",1265637.00,578439.00,589583.00
01,"Atlantic",0120,"Atlantic Co Vocational",84060,"'","General Fund Grand Total",26502290.00,30003626.00,32893897.00
01,"Atlantic",0120,"Atlantic Co Vocational",84100,"'20-XXX-XXX-XX","Local Projects",78010.00,82740.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",84200,"'20-475-XXX-XX","Student Activity Fund",0.00,158000.00,168000.00
01,"Atlantic",0120,"Atlantic Co Vocational",84220,"'20-476-XXX-XX","Scholarship Fund",0.00,2000.00,2000.00
01,"Atlantic",0120,"Atlantic Co Vocational",88120,"'20-XXX-XXX-XX","Vocational Education",85320.00,93488.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",88140,"'20-XXX-XXX-XX","Other",2455.00,0.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",88180,"'","Total Other State Projects",87775.00,93488.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",88200,"'20-XXX-XXX-XX","Total State Projects",87775.00,93488.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",88500,"'20-XXX-XXX-XX","Title I",664855.00,689390.00,585982.00
01,"Atlantic",0120,"Atlantic Co Vocational",88520,"'20-XXX-XXX-XX","Title II",77131.00,38434.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",88620,"'20-XXX-XXX-XX","I.D.E.A. Part B (Handicapped)",280471.00,312371.00,265515.00
01,"Atlantic",0120,"Atlantic Co Vocational",88640,"'20-XXX-XXX-XX","Vocational Education",238610.00,219550.00,186617.00
01,"Atlantic",0120,"Atlantic Co Vocational",88678,"'20-477-XXX-XX","CARES Act Education Stabilization Fund",0.00,468868.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",88705,"'20-478-XXX-XX","Bridging the Digital Divide Program",0.00,117704.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",88706,"'20-479-XXX-XX","Coronavirus Relief Fund (CRF) Grant Program",0.00,175591.00,0.00
01,"Atlantic",0120,"Atlantic Co Vocational",88740,"'20-XXX-XXX-XX","Total Federal Projects",1261067.00,2021908.00,1038114.00
01,"Atlantic",0120,"Atlantic Co Vocational",88760,"'","Total Special Revenue Funds",1426852.00,2358136.00,1208114.00
01,"Atlantic",0120,"Atlantic Co Vocational",90000,"'","Total Expenditures/Appropriations",27929142.00,32361762.00,34102011.00
01,"Atlantic",0120,"Atlantic Co Vocational",90010,"'","Total Expenditures Net of Transfers",27929142.00,32361762.00,34102011.00
01,"Atlantic",0125,"Atlantic Co Special Serv",10300,"'11-2XX-100-XX","Total Special Education-Instruction",6024603.00,6666326.00,6303166.00
01,"Atlantic",0125,"Atlantic Co Special Serv",25100,"'11-4XX-100-XX","Total Other Instructional Programs-Instruction",401922.00,524199.00,437511.00
01,"Atlantic",0125,"Atlantic Co Special Serv",30620,"'11-000-213-XX","Total Undistributed Expenditures-Health Services",262019.00,360219.00,263681.00
01,"Atlantic",0125,"Atlantic Co Special Serv",40580,"'11-000-216-XX","Total Undistributed Expenditures-Speech, OT, PT and Related Services",1204539.00,1257589.00,1202067.00
01,"Atlantic",0125,"Atlantic Co Special Serv",42200,"'11-000-219-XX","Total Undistributed Expenditures-Child Study Teams",835658.00,836843.00,793318.00
01,"Atlantic",0125,"Atlantic Co Special Serv",43200,"'11-000-221-XX","Total Undistributed Expenditures-Improvement of Instruction Services",112865.00,122039.00,126511.00
01,"Atlantic",0125,"Atlantic Co Special Serv",43620,"'11-000-222-XX","Total Undistributed Expenditures-Education Media Services/Library",242.00,2050.00,1500.00
01,"Atlantic",0125,"Atlantic Co Special Serv",44180,"'11-000-223-XX","Total Undistributed Expenditures-Instructional Staff Training Services",4253.00,34774.00,21450.00
01,"Atlantic",0125,"Atlantic Co Special Serv",45300,"'11-000-230-XX","Total Undistributed Expenditures-Support Services-General Administration",366180.00,438248.00,425513.00
01,"Atlantic",0125,"Atlantic Co Special Serv",46160,"'11-000-240-XX","Total Undistributed Expenditures-Support Services-School Administration",390568.00,476214.00,480973.00
01,"Atlantic",0125,"Atlantic Co Special Serv",47200,"'11-000-251-XX","Total Undistributed Expenditures-Central Services",552749.00,597944.00,553641.00
01,"Atlantic",0125,"Atlantic Co Special Serv",47620,"'11-000-252-XX","Total Undistributed Expenditures-Administrative Informationtechnology",164817.00,236220.00,180323.00
01,"Atlantic",0125,"Atlantic Co Special Serv",51120,"'11-000-26X-XX","Total Undistributed Expenditures-Operation and Maintenance of Plant Services",1761503.00,2051527.00,2059479.00
01,"Atlantic",0125,"Atlantic Co Special Serv",52480,"'11-000-270-XX","Total Undistributed Expenditures-Student Transportation Services",15328.00,197945.00,168650.00
